Subject,Catalog,Section,Component,Session,MinUnits,Units,TotEnrl,CapEnrl,Instructor,Capacity,Room,Mtg Start,Mtg End,Days,Start Date,End Date,Term,Campus,Class Nbr,Total Credits,DUP,FULL,OVER
MTH, 161,01H,LEC,1,3,3,24,26,"Hicks,Betty J",36,130,8:00:00 AM,9:15:00 AM,MW,1/9/2023,5/6/2023,2232,MAIN,23622,72,,,
MTH, 161,01W,LEC,1,3,3,25,28,"Wells,Steven Edward",28,235,8:00:00 AM,9:15:00 AM,MW,1/9/2023,5/6/2023,2232,HT,24281,75,,,
MTH, 161,02H,LEC,1,3,3,27,28,"Hicks,Betty J",36,130,9:30:00 AM,10:45:00 AM,MW,1/9/2023,5/6/2023,2232,MAIN,23576,81,,,
MTH, 161,07W,LEC,1,3,3,12,24,"Struble,Elizabeth Marie",24,204,9:30:00 AM,10:45:00 AM,MW,1/9/2023,5/6/2023,2232,HT,24388,36,,,
MTH, 161,40H,LEC,1,3,3,0,0,"Staff,Tba",36,130,5:30:00 PM,6:45:00 PM,MW,1/9/2023,5/6/2023,2232,MAIN,23577,0,,FULL,
MTH, 161,50H,LEC,1,3,3,20,28,"Townes,Anthony Whitney",36,130,5:30:00 PM,6:45:00 PM,TR,1/9/2023,5/6/2023,2232,MAIN,23578,60,,,
MTH, 161,B20H,LEC,12W,3,3,3,28,"Indika,S H Sathish",48,141,11:00:00 AM,12:15:00 PM,TR,2/7/2023,5/8/2023,2232,MAIN,23590,9,,,
MTH, 161,B21H,LEC,12W,3,3,5,28,"Indika,S H Sathish",48,141,12:30:00 PM,1:45:00 PM,TR,2/7/2023,5/8/2023,2232,MAIN,24486,15,,,
MTH, 161,D01,DED,1,3,3,26,28,"Kelso,Elizabeth Ann",30,TUAL,,,,1/9/2023,5/6/2023,2232,MAIN,23639,78,,,
MTH, 161,D02,DED,1,3,3,17,28,"Maule,Amanda Lynne",30,TUAL,,,,1/9/2023,5/6/2023,2232,MAIN,24282,51,,,
MTH, 161,D03,DED,1,3,3,12,28,"Maria Fagundez,Sergio",30,TUAL,,,,1/9/2023,5/6/2023,2232,MAIN,23722,36,,,
MTH, 161,D04,DED,12W,3,3,0,0,"Delmage,Erin Kathleen",30,TUAL,,,,2/7/2023,5/8/2023,2232,MAIN,24176,0,,FULL,
MTH, 161,D05,DED,8W1,3,3,16,28,"Edradan,Alberto Omni",30,TUAL,,,,1/9/2023,3/4/2023,2232,MAIN,24012,48,,,
MTH, 161,D06,DED,8W2,3,3,6,28,"Marple,Christopher R",30,TUAL,,,,3/13/2023,5/6/2023,2232,MAIN,24013,18,,,
MTH, 161,D07,DED,1,3,3,9,24,"Struble,Elizabeth Marie",30,TUAL,,,,1/9/2023,5/6/2023,2232,HT,24283,27,,,
MTH, 161,DG01,DED,1,3,3,5,24,"Maria Fagundez,Sergio",30,TUAL,,,,1/9/2023,5/6/2023,2232,MAIN,24519,15,,,
MTH, 161,DG02,DED,1,3,3,10,24,"Kelso,Elizabeth Ann",30,TUAL,,,,1/9/2023,5/6/2023,2232,MAIN,24520,30,,,
MTH, 161,DG03,DED,1,3,3,1,24,"Kelso,Elizabeth Ann",30,TUAL,,,,1/9/2023,5/6/2023,2232,HT,39746,3,,,
MTH, 161,DR07,DED,1,3,3,3,24,"Struble,Elizabeth Marie",30,TUAL,9:30:00 AM,10:45:00 AM,MW,1/9/2023,5/6/2023,2232,HT,39742,9,,,
MTH, 161,DRG1,DED,1,3,3,3,24,"Maria Fagundez,Sergio",30,TUAL,11:00:00 AM,12:15:00 PM,MW,1/9/2023,5/6/2023,2232,MAIN,39743,9,,,
MTH, 161,DRG3,DED,1,3,3,1,24,"Kelso,Elizabeth Ann",30,TUAL,11:00:00 AM,12:15:00 PM,TR,1/9/2023,5/6/2023,2232,HT,39747,3,,,
